nama_wisata,alamat,kabupaten,provinsi,deskripsi_wisata,sumber_deskripsi
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,"Jika belum, ada destinasi wisata menarik yang wajib masuk dalam daftar perjalanan Anda: Losari Beach Platform di Kota Makassar. Destinasi wisata modern ini menawarkan keindahan alam yang memukau dan berbagai aktivitas seru yang tak boleh Anda lewatkan!",https://www.sulawesitoday.com/berita/122508588/destinasi-wisata-losari-beach-platform-menyaksikan-keindahan-lautan-sembari-kulineran-di-makassar
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,"Benteng ini awalnya dibangun oleh Kerajaan Gowa pada abad ke-16 sebagai sarana pertahanan dari ancaman musuh, khususnya saat menghadapi serangan dari kerajaan-kerajaan lain maupun penjajah asing.",https://www.indonesia.travel/id/id/travel-ideas/heritage/benteng-rotterdam/
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Bone,Sulawesi Selatan,"Sebagai salah satu kawasan konservasi, TN Babul memegang peranan penting dalam mendukung implementasi arah kebijakan dan strategi pembangunan nasional pada Rencana Pembangunan Jangka Menengah Nasional (RPJMN) yang dititikberatkan pada Pembangunan Lingkungan Hidup dan Pengelolaan Bencana. Fokus prioritas pembangunan tersebut diarahkan pada upaya-upaya yang berkaitan dengan konservasi sumber daya hutan dalam mendukung pertumbuhan ekonomi dan kesejahteraan yang berkelanjutan, dan pelaksanaan pembangunan lintas bidang, yaitu terkait mitigasi dan adaptasi perubahan iklim.",https://id.wikipedia.org/wiki/Taman_Nasional_Bantimurung_Bulusaraung
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,"Kawasan Smart Culiner Pantai Tak Berombak Maros atau lebih dikenal dengan nama PTB Maros adalah sebuah kawasan pusat kuliner di Kabupaten Maros dan telah menjadi tempat wisata kuliner favorit [ 1 ] dan ramai dikunjungi pengunjung pada sore dan malam hari. Lokasi objek wisata kuliner ini berada tepat di Lingkungan Kassi Lama, Kelurahan Pettuadae , Kecamatan Turikale , Kabupaten Maros , Sulawesi Selatan , Indonesia . Pantai Tak Berombak Maros sebenarnya bukanlah sebuah pantai yang menghubungkan secara langsung dengan laut, melainkan sebuah kolam buatan yang berukuran luas yang berada pada pusat...",https://id.wikipedia.org/wiki/Pantai_Tak_Berombak_Maros
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,"Kete Kesu (dieja Keʼteʼ Kesuʼ ) adalah suatu desa wisata di kawasan Tana Toraja yang dikenal karena adat dan kehidupan tradisional masyarakat dapat ditemukan di kawasan ini. [ 1 ] Di dalam Kete Kesu terdapat peninggalan purbakala berupa manusia purba yang biasa disebut oky kete kesu yang berasal dari salodong dan mempunyai adik kembar nunang tongkonan. Dilain itu juga terdapat berupa kuburan batu yang diperkirakan berusia 500 tahun lebih. [ 2 ] Di dalam kubur batu yang menyerupai sampan atau perahu tersebut, tersimpan sisa-sisa tengkorak dan tulang manusia. Hampir semua kubur batu diletakkan...",https://id.wikipedia.org/wiki/Ke’te’_Kesu’
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,"Menara keagungan adalah sebuah menara dengan kontruksi dari baja yang terletak Kota Limboto , Kabupaten Gorontalo , Provinsi Gorontalo . Indonesia . Menara dengan ketinggian 65 yang meter yang menyerupai Menara Eiffel ini menjadi salah satu simbol kota Limboto dan menjadi salah satu tujuan wisata populer di Gorontalo. [ 2 ] [ 3 ] [ 4 ]",https://id.wikipedia.org/wiki/Menara_Keagungan
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,Taman Pakui Sayang memiliki area bermain anak yang luas dengan berbagai wahana seru. Adapun wahana yang ada seperti ayunan hingga jungkat-jungkit. Hal tersebut membuat anak-anak dapat bermain dengan bebas dan aman di area ini.,https://www.idntimes.com/travel/destination/tempat-bermain-anak-di-makassar-00-r95nh-h8hcg0
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,"Sulawesi Selatan adalah salah satu provinsi yang ada di pulau Sulawesi, dan memiliki ibukota Makassar. Kota Makassar sendiri merupakan kota yang dihuni oleh penduduk dengan beraneka ragam suku, kepercayaan dan budaya. Karena itu tidak heran kalau di kota ini kamu bisa menemukan rumah ibadah berbagai agama.",https://www.idntimes.com/travel/destination/masjid-raya-makassar-sulawesi-selatan-c1c2-01-zydpl-nybw10
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,"Taman Vatulemo merupakan taman kota yang populer di Palu. Selain ditata dengan rapi, banyak aktivitas yang dapat dilakukan di sini.",https://www.tripzilla.id/tempat-wisata-palu/1635
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,"Monumen Cinta Sejati Habibie Ainun merupakan monumen yang terletak di Parepare, Sulawesi Selatan. Monumen Cinta Sejati ini, dibuat untuk mengenang cinta Presiden ketiga Republik Indonesia Bacharuddin Jusuf Habibie kepada istrinya Hasri Ainun Besari , dan untuk menginspirasi warga Parepare. Selain itu Monumen Cinta sejati Ainun Habibie, ini adalah kado Pernikahan untuk Habibie pada hari ulang tahun pernikahannya dengan Ibu Ainun. [ 1 ] Peresmian Monumen Cinta Sejati Habibie-Ainun ini bertepatan dengan peringatan hari ulang tahun pernikahan Habibie dan Ainun yang ke-53. [ 2 ]",https://id.wikipedia.org/wiki/Monumen_Cinta_Sejati_Habibie_Ainun
