nama wisata,alamat,kabupaten,provinsi,harga_rp,kategori_harga,url_harga
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,3000.0,Murah,https://atourin.com/destination/makassar/pantai-losari
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,5000.0,Murah,https://travel.tribunnews.com/2025/03/14/5-tempat-wisata-hits-di-makassar-yang-wajib-dikunjungi-ada-pulau-samalona-hingga-masjid-99-kubah
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Bone,Sulawesi Selatan,5000.0,Murah,https://travelspromo.com/htm-wisata/balai-taman-nasional-bantimurung-bulusaraung-pangkajene/
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,15000.0,Sedang,https://travel.tribunnews.com/destinasi/141320/itinerary-maros-1-hari-bujet-rp-370-ribu-wisata-alam-estetik-bersama-pasangan
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,15000.0,Sedang,https://www.detik.com/sulsel/wisata/d-6066048/pengunjung-wisata-kete-kesu-toraja-tembus-15-000-selama-libur-lebaran
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,5000.0,Murah,https://travel.detik.com/domestic-destination/d-2870796/ada-yang-mirip-menara-eiffel-di-gorontalo
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,-
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,5000.0,Murah,https://www.bluebirdgroup.com/blog/8-tempat-wisata-populer-di-makassar-lepas-penat-sebentar-saat-business-trip?lang=en
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,-,-,-
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,1500.0,Murah,https://www.detik.com/sulsel/wisata/d-6594141/23-objek-wisata-di-parepare-mulai-pesona-alam-hingga-situs-sejarah
Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,https://salsawisata.com/pantai-losari/
Tribun Pantai Seruni,"Tribun Pantai Seruni, Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,15000.0,Sedang,https://travel.tribunnews.com/destinasi/140650/itinerary-bantaeng-1-hari-dari-jeneponto-bujet-liburan-berdua-rp-240-ribuan
Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",Kota Makassar,Sulawesi Selatan,75000.0,Mahal,https://www.msn.com/id-id/berita/other/7-tempat-wisata-kids-friendly-di-makassar-untuk-liburan-akhir-tahun/ar-AA1SuKAG
Taman Kalong Watansoppeng,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,3000.0,Murah,https://www.detik.com/sulsel/wisata/d-6527369/15-tempat-wisata-di-soppeng-pesona-keindahan-alam-hingga-peninggalan-sejarah
Patung Tuhan Yesus Memberkati,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia",Kabupaten Tana Toraja,Sulawesi Selatan,10000.0,Sedang,https://travelspromo.com/htm-wisata/patung-yesus-memberkati-toraja/
Pantai Losari,"Pantai Losari, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,https://salsawisata.com/pantai-losari/
Tugu Zero Point,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,2500.0,Murah,https://travel.tribunnews.com/2020/08/01/harga-tiket-masuk-pantai-madasari-pangandaran-tempat-asyik-untuk-liburan-akhir-pekan
Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",Kota Makassar,Sulawesi Selatan,5000.0,Murah,https://superapps.kompas.com/read/4282708/6-tempat-wisata-di-maros-sulawesi-selatan-ada-taman-nasional-yang-disebut-kerajaan-kupu-kupu
"Lolai - To' Tombi, Negeri di atas awan","Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,1500.0,Murah,https://travels.id/harga-penginapan-di-lolai-toraja/
Pantai Bira Pasir Putih,"9FP5+7F2, Jalan Poros Jl. Pasir Putih Bira, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,5000.0,Murah,https://www.detik.com/sulsel/berita/d-7328979/wisatawan-keluhkan-2-kali-bayar-saat-masuk-bira-bulukumba-pemkab-klarifikasi
Taman Gor,"4V3C+MW9, Jl. Chairil Anwar, Besusu Tengah, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,5000.0,Murah,https://www.oyorooms.com/travel-guide/id/tempat-wisata-palu/
Lolai Tongkonan Lempe,"Benteng Mamulu, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,15000.0,Sedang,https://www.inews.id/multimedia/photo/wisata-negeri-di-atas-tongkonan-lempe-lolai-toraja
Monumen Yesus Memberkati,"CRQX+625, Jl. Monumen Yesus Memberkati, Winangun Satu, Kec. Malalayang, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,15000.0,Sedang,https://indonesia.tripcanvas.co/id/sulawesi/tempat-wisata-alam-sulawesi-utara/
Wisata Kebun Gowa,"Jl. Malino, Bontomanai, Kabupaten Gowa",Kabupaten Gowa,Sulawesi Selatan,15000.0,Sedang,https://smartcity.gowakab.go.id/wisata_buatan/wisata-kebun-gowa/2
Taman Nasional Bunaken,"Pelabuhan Marina plazaa, Manado City, North Sulawesi, Indonesia",Kota Manado,Sulawesi Utara,5000.0,Murah,https://travelspromo.com/htm-wisata/taman-nasional-bunaken-wori-sulawesi-utara/
Taman Kota Kendari,"2GG7+H6G, Mandonga, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93111, Indonesia",Kota Kendari,Sulawesi Tenggara,0.0,Gratis,https://travel.kompas.com/read/2021/10/06/093519627/itinerary-3-hari-2-malam-di-kendari-menyusuri-mangrove-bungkutoko
Malino highlands,"Pattapang, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92171, Indonesia",Kabupaten Gowa,Sulawesi Selatan,50000.0,Mahal,https://nativeindonesia.com/malino-highlands/
Pantai Akkarena,"Pantai Akkarena, Jalan Tanjung Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",Kota Makassar,Sulawesi Selatan,1500.0,Murah,https://travelspromo.com/htm-wisata/pantai-akkarena-makassar/
Taman Macan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,-
Kampoeng Karst Rammang Rammang,"Salenrang, Rammang Rammang, Bontonlempangan, Kec. Bontoa, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,15000.0,Sedang,https://www.lemon8-app.com/langkahdody/7122397037621953026?region=id
Lasinrang Park,"Jl. Dr. Wahidin Sudiro Husodo, Jaya, Kec. Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan 91213, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,10000.0,Sedang,https://www.detik.com/sulsel/wisata/d-6896501/25-rekomendasi-objek-wisata-di-kabupaten-pinrang-untuk-liburan
Tebing Apparalang,"FC6X+XRG, Ara, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,10000.0,Sedang,https://www.pantaipedia.com/pantai-apparalang/
Taman Nasional Bantimurung Bulusaraung,"Jln. Poros Maros-Bone Km.12, Kalabbirang, Bantimurung, Kalabbirang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,5000.0,Murah,https://travelspromo.com/htm-wisata/balai-taman-nasional-bantimurung-bulusaraung-pangkajene/
Masjid Kubah 99,"Jl. H. Bau No.36, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia",Kota Makassar,Sulawesi Selatan,0.0,Gratis,https://travel.kompas.com/read/2021/09/24/094005227/itinerary-3-hari-2-malam-di-makassar-wisata-edukasi-di-leang-leang
Taman Musafir,"Padoang Doangan, Kec. Pangkajene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,0,Gratis,https://www.detik.com/sulsel/wisata/d-6447974/11-objek-wisata-pangkep-yang-cocok-untuk-mengisi-liburan
Taman Arkeologi Leang Leang,"2MFF+2M6 Ktr. Kelurahan Leang Leang, Leang-Leang, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,15000.0,Sedang,https://planktontour.id/leang-leang-maros-taman-prasejarah-terbesar-kedua-dunia/
Tonrangeng Riverside,"XJ3G+292, Lumpue, Kec. Bacukiki Bar., Kota Parepare, Sulawesi Selatan 91123, Indonesia",Kota Parepare,Sulawesi Selatan,1500.0,Murah,https://www.detik.com/sulsel/wisata/d-6594141/23-objek-wisata-di-parepare-mulai-pesona-alam-hingga-situs-sejarah
Taman Wisata Alam Lejja,"Jl. Poros Lejja, Bulue, Kec. Marioriawa, Kabupaten Soppeng, Sulawesi Selatan 90852, Indonesia",Kabupaten Soppeng,Sulawesi Selatan,3000.0,Murah,https://www.detik.com/sulsel/wisata/d-6688125/pemandian-air-panas-lejja-soppeng-sejarah-spot-wisata-hingga-harga-tiket
Space iklan 5x10. Anjungan Pantai Manakarra,"Anjungan Pantai Manakarra, Jl. Yos Sudarso, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511, Indonesia",Kabupaten Mamuju,Sulawesi Barat,0.0,Gratis,https://liburanplus.com/wisata/sulawesi/pantai-manakarra-mamuju/
Pantai Paal,"Pantai Paal, Kec. Likupang Tim., Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,10000.0,Sedang,https://www.idntimes.com/travel/destination/pantai-paal-likupang-sulawesi-utara-c1c2-01-mth91-cxv3sf
Masjid Al Markaz Al Islami Maros,"XHMF+J7C, Desa Jalan Butta Toa, Pettuadae",Kabupaten Maros,Sulawesi Selatan,15000.0,Sedang,https://travel.detik.com/fototravel/d-4548272/al-markaz-al-islami-masjid-terbesar-di-timur-indonesia
Museum Balla Lompoa,"Jl. K. H. Wahid Hasyim No.39, Sungguminasa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia",Kabupaten Gowa,Sulawesi Selatan,5000.0,Murah,https://www.celebes.co/museum-balla-lompoa
Londa Ancient Graveyard,"Lembang Sangbua, XVPG+483, Kesu, Tadongkon, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91852, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,10000.0,Sedang,https://torajautarakab.go.id/detail/Wisata+Kuburan+Londa
Taman Nasional Wakatobi,"CWPJ+J57, Lentea, Sulawesi Tenggara, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,0.0,Gratis,-
Pelabuhan Paotere,"Pelabuhan Paotere, Gusung, Kota Makassar, Sulawesi Selatan, Indonesia",Kota Makassar,Sulawesi Selatan,3000.0,Murah,https://money.kompas.com/read/2023/07/09/215158226/profil-dan-sejarah-pelabuhan-paotere-makassar?page=all
Pantai Tanjung Bira,"Pantai Tj. Bira, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,2500.0,Murah,https://ketikmedia.com/wisata/wisata-di-sulawesi/pantai-sulawesi
Air Terjun Takapala,"PVF5+HW, Bonto Lerung, Kec. Tinggimoncong, Kabupaten Gowa, Sulawesi Selatan 92174, Indonesia",Kabupaten Gowa,Sulawesi Selatan,5000.0,Murah,https://www.it-palugate.com/kesempurnaan-kawasan-wisata-malino-air-terjun-takapala/
Benteng Otanaha,"Dembe I, Kec. Kota Bar., Kota Gorontalo, Gorontalo 96181, Indonesia",Kota Gorontalo,Gorontalo,5000.0,Murah,https://travel.kompas.com/read/2021/09/15/121700227/itinerary-3-hari-2-malam-di-gorontalo-wisata-ke-benteng-otanaha
Taman Mattirotasi,"XJHF+Q2X, Jl. Bau Massepe, Labukkang, Kec. Ujung, Kota Parepare, Sulawesi Selatan, Indonesia",Kota Parepare,Sulawesi Selatan,1500.0,Murah,https://www.detik.com/sulsel/wisata/d-6594141/23-objek-wisata-di-parepare-mulai-pesona-alam-hingga-situs-sejarah
Wisata Bahari Seafood Restaurant,"Bahu Mall Complex, Jl. Wolter Monginsidi No.1, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,0,Gratis,https://tempatwisataseru.com/tempat-wisata-di-gorontalo/
Rumah Alam Manado Adventure Park,"Jl. Ring Road Jaga IX No.Km, RW.1, Maumbi, Kec. Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,5000.0,Murah,https://www.celebes.co/tempat-wisata-manado
Alun Alun Kota Polewali,"Pekkabata, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311, Indonesia",Kabupaten Polewali Mandar,Sulawesi Barat,5000.0,Murah,https://travel.detik.com/domestic-destination/d-4394985/satu-lagi-surga-di-sulawesi-pantai-pasir-putih-palippis
Wisata Pantai Topejawa,"Topejawa, Kec. Mangarabombang, Kabupaten Takalar, Sulawesi Selatan 92261, Indonesia",Kabupaten Takalar,Sulawesi Selatan,10000.0,Sedang,https://talentim.blogspot.com/2021/08/harga-tiket-masuk-topejawa-takalar.html
Masjid Agung Baiturrahim Gorontalo,"G3Q6+24X, Jl. Raja Eyato, Limba B, Kota Sel., Kota Gorontalo, Gorontalo 96134, Indonesia",Kota Gorontalo,Gorontalo,-,-,-
Titik Nol KM Sulsel,"9FHC+4VM, tanjung, Bira, Kec. Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,5000.0,Murah,https://regional.kompas.com/read/2022/09/05/204633678/titik-nol-bulukumba-daya-tarik-latar-belakang-akses-dan-harga-tiket?page=all
Pantai Pohon Cinta,"Wisata Pohon Cinta, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96266, Indonesia",Kabupaten Pohuwato,Gorontalo,5000.0,Murah,https://travelspromo.com/htm-wisata/pantai-pohon-cinta-pohuwato/
Benteng Keraton Kesultanan Buton (Negeri Khalifatul Khamis),"GJG2+4W6, Jl. Labuke, Melai, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93713, Indonesia",Kota Bau-Bau,Sulawesi Tenggara,15000.0,Sedang,https://travel.detik.com/fototravel/d-7560025/menyusuri-benteng-keraton-kesultanan-buton-yang-pecahkan-rekor-dunia
Taman Berkat (GODBLESS PARK) Manado,"FR8H+WJG, Jl. Piere Tendean, Sario Utara, Kec. Sario, Kota Manado, Sulawesi Utara, Indonesia",Kota Manado,Sulawesi Utara,0.0,Gratis,-
Pantai Kilo 5,"Pantai Kilo 5, Jl. Dr. Moh. Hatta, Bukit Mambual, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah, Indonesia",Kabupaten Banggai,Sulawesi Tengah,10000.0,Sedang,https://www.celebes.co/pantai-kilo-5-luwuk
