nama_wisata,kabupaten,provinsi,label_rekomendasi
Taman Laut Olele,Kabupaten Bone Bolango,Gorontalo,Terbaik
"Air Konde, Pasan Wawali Minahasa Tenggara (Jalan menuju Air Konde)",Kabupaten Minahasa Tenggara,Sulawesi Utara,Terbaik
Gerbang Desa Wisata Tangkeno,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Taman Wisata Hutan Pinus Sorombipi,Kabupaten Kolaka Timur,Sulawesi Tenggara,Buruk
Pingiran Danau Mokobang,Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
Air Terjun Kima Atas,Kota Manado,Sulawesi Utara,Buruk
Permandian Alam Batupapan,Kota Palopo,Sulawesi Selatan,Terbaik
Air Terjun Sarambu,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Pantai Paal,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Taman Margasatwa Tandurusa,Kota Bitung,Sulawesi Utara,Buruk
Bukit pasir,Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Puncak Pilos,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Sedang
Wantopi Beach,Kabupaten Buton Tengah,Sulawesi Tenggara,Terbaik
Floating Houses Tempe Lake,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Wisata Pantai Talise Palu,Kota Palu,Sulawesi Tengah,Terbaik
Wisata Ere Bambang Pencong,Kabupaten Gowa,Sulawesi Selatan,Sedang
"Wisata Religi BUKIT DOA ""DOMADATU"" Toraja Utara",Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Pulau Terluar Indonesia,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Tanjung Saroco,Kabupaten Kepulauan Talaud,Sulawesi Utara,Terbaik
Goa Purbakala Passea,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Ekowisata Mangrove,Kota Bitung,Sulawesi Utara,Buruk
Air Terjun Baruttung,Kabupaten Bone,Sulawesi Selatan,Buruk
