place_id,nama_wisata,kategori,alamat,kabupaten,provinsi,rating,jumlah_riview,harga,kategori_harga,url_harga,lat,long,url_image,deskripsi_wisata,sumber_deskripsi,alamat_gmaps,lat_gmaps,lon_gmaps,status_scrape
ChIJAe8Dxrrivi0RkTTxeTp61F8,Losari Beach Platform,Wisata Kota / Landmark,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,4.4,17574,3000.0,Murah,https://atourin.com/destination/makassar/pantai-losari,-5.1436198,119.4074821,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJhF-y_E_-JkBEXPJy2zaSIudVkCngXGOExTj-PRLvhU923H65-hvHciDLMmW3kBv-ASo2QcOGQrEDf8lQ9noMcoXM8cuOMLvtbKPLWRKGs6VUIleOcIlInFZvEzcUVzE0TLYo=w1200-h800-k-no,"Jika belum, ada destinasi wisata menarik yang wajib masuk dalam daftar perjalanan Anda: Losari Beach Platform di Kota Makassar. Destinasi wisata modern ini menawarkan keindahan alam yang memukau dan berbagai aktivitas seru yang tak boleh Anda lewatkan!",https://www.sulawesitoday.com/berita/122508588/destinasi-wisata-losari-beach-platform-menyaksikan-keindahan-lautan-sembari-kulineran-di-makassar,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113",,,OK_GEO
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Benteng Rotterdam,Wisata Budaya & Sejarah,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,4.5,14273,5000.0,Murah,https://travel.tribunnews.com/2025/03/14/5-tempat-wisata-hits-di-makassar-yang-wajib-dikunjungi-ada-pulau-samalona-hingga-masjid-99-kubah,-5.1340004,119.4056311,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3mUNaIXT8W5KIOigQdiEBMLgJHDsPgimdkLVRxkdcaV6xqD4pBO6LmpifIRcObB2bCmvI4dfBsXljr_08Ki4AS0W6yImda7Ej3IjEqA1aXBfuewnSTQFkBn0LbtIPdtWa4-aW_w=w1200-h800-k-no,"Benteng ini awalnya dibangun oleh Kerajaan Gowa pada abad ke-16 sebagai sarana pertahanan dari ancaman musuh, khususnya saat menghadapi serangan dari kerajaan-kerajaan lain maupun penjajah asing.",https://www.indonesia.travel/id/id/travel-ideas/heritage/benteng-rotterdam/,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171",,,OK_GEO
ChIJW_XJxVOLvi0RF7doOR7veJ0,Taman Nasional Bantimurung Bulusaraung,Wisata Alam,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Maros,Sulawesi Selatan,4.4,12283,5000.0,Murah,https://travelspromo.com/htm-wisata/balai-taman-nasional-bantimurung-bulusaraung-pangkajene/,-4.8011838,119.8234977,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOcKePcx9v9SYA4FtVrRiQMKWqrTHua9tnlGG-fg3MnGigOjyVIygeT2YKdMMHKUJvAk7i22fn05L_ciqk-HTE6AB1FFrd9bBVibOk0MDblB_MHjEPikf8quaZAZzO88tqSX3X=w1200-h800-k-no,"Sebagai salah satu kawasan konservasi, TN Babul memegang peranan penting dalam mendukung implementasi arah kebijakan dan strategi pembangunan nasional pada Rencana Pembangunan Jangka Menengah Nasional (RPJMN) yang dititikberatkan pada Pembangunan Lingkungan Hidup dan Pengelolaan Bencana. Fokus prioritas pembangunan tersebut diarahkan pada upaya-upaya yang berkaitan dengan konservasi sumber daya hutan dalam mendukung pertumbuhan ekonomi dan kesejahteraan yang berkelanjutan, dan pelaksanaan pembangunan lintas bidang, yaitu terkait mitigasi dan adaptasi perubahan iklim.",https://id.wikipedia.org/wiki/Taman_Nasional_Bantimurung_Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan",,,ORIG_NO_MATCH
ChIJtaw3Gkb4vi0RstXpcGWwRnw,"Pantai Tak Berombak, PTB Maros",Wisata Alam,"Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,4.4,6828,15000.0,Sedang,https://travel.tribunnews.com/destinasi/141320/itinerary-maros-1-hari-bujet-rp-370-ribu-wisata-alam-estetik-bersama-pasangan,-5.0144456,119.5749278,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU89Bs11mY_XQEpcOU3ndA8nYpp6OyHnrlHgYC-qZG7aUqxvceyh0bYkxkj_b1tips3KaB-h-TGPB9kjUgJZgf9KOma27zIFnUIBu67Vs5_UN_dQCDDzbQTsu4Gjavg-wEsM2tXg=w1200-h800-k-no,"Kawasan Smart Culiner Pantai Tak Berombak Maros atau lebih dikenal dengan nama PTB Maros adalah sebuah kawasan pusat kuliner di Kabupaten Maros dan telah menjadi tempat wisata kuliner favorit [ 1 ] dan ramai dikunjungi pengunjung pada sore dan malam hari. Lokasi objek wisata kuliner ini berada tepat di Lingkungan Kassi Lama, Kelurahan Pettuadae , Kecamatan Turikale , Kabupaten Maros , Sulawesi Selatan , Indonesia . Pantai Tak Berombak Maros sebenarnya bukanlah sebuah pantai yang menghubungkan secara langsung dengan laut, melainkan sebuah kolam buatan yang berukuran luas yang berada pada pusat...",https://id.wikipedia.org/wiki/Pantai_Tak_Berombak_Maros,,,,OK_GEO
ChIJqT4iSqHpky0RKXyR5A7BxFk,Tongkonan Ke'te' Kesu',Wisata Budaya & Sejarah,"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,4.6,6780,15000.0,Sedang,https://www.detik.com/sulsel/wisata/d-6066048/pengunjung-wisata-kete-kesu-toraja-tembus-15-000-selama-libur-lebaran,-2.9951676,119.9106149,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFam6QeW79vhtKlFVW-GK6knfCgJm08LA3rB7r8NFK7ZL5KXZdMd-kO6dIC0_OB1xCnjwlw5ol3PWcjZNBc9U2ab64PkCynvbQ448Xebmf61LUJpdyen4kpH4__tYNf3kp5VbR5GQ=w1200-h800-k-no,"Kete Kesu (dieja Keʼteʼ Kesuʼ ) adalah suatu desa wisata di kawasan Tana Toraja yang dikenal karena adat dan kehidupan tradisional masyarakat dapat ditemukan di kawasan ini. [ 1 ] Di dalam Kete Kesu terdapat peninggalan purbakala berupa manusia purba yang biasa disebut oky kete kesu yang berasal dari salodong dan mempunyai adik kembar nunang tongkonan. Dilain itu juga terdapat berupa kuburan batu yang diperkirakan berusia 500 tahun lebih. [ 2 ] Di dalam kubur batu yang menyerupai sampan atau perahu tersebut, tersimpan sisa-sisa tengkorak dan tulang manusia. Hampir semua kubur batu diletakkan...",https://id.wikipedia.org/wiki/Ke’te’_Kesu’,"2W36+W6Q, Unnamed Road, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834",,,OK_GEO
ChIJXeflmUcreTIRThXj-qplVcA,Menara Keagungan Limboto,Wisata Kota / Landmark,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,4.6,6145,5000.0,Murah,https://travel.detik.com/domestic-destination/d-2870796/ada-yang-mirip-menara-eiffel-di-gorontalo,0.6269984,122.9798882,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFigF5NDboN-iizDAMM58Bq6eqKhYufwspU0CNNQWH3YpooXgSyTRUT9LeGX0EpI1ZFGaiKryEqIRMQ8vHXqB2Z0Ht6Eb13DVi4fF4LF1zL6ggoU5UHGL2e_QEBc8voNmpXFa6XHw=w1200-h800-k-no,"Menara keagungan adalah sebuah menara dengan kontruksi dari baja yang terletak Kota Limboto , Kabupaten Gorontalo , Provinsi Gorontalo . Indonesia . Menara dengan ketinggian 65 yang meter yang menyerupai Menara Eiffel ini menjadi salah satu simbol kota Limboto dan menjadi salah satu tujuan wisata populer di Gorontalo. [ 2 ] [ 3 ] [ 4 ]",https://id.wikipedia.org/wiki/Menara_Keagungan,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214",,,OK_GEO
ChIJk0JLwrnivi0R-CtMG-aENT8,Taman Pakui Sayang,Wisata Kota / Landmark,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,4.6,5922,0.0,Gratis,-,-5.1516978,119.436993,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHua4cQlnWcl1sTPQDojxG2ADoXdjvyNVycOpLFX2Mx4i0B0ore6lPecpka386zJ18fBCE5IXsABaQzR1KxywbjB-fFvff5tGyeOpI1m4h5XZVuc6LPmbIV8ox4TIvNlzwDZ6GM0EbZHFNB=w1200-h800-k-no,Taman Pakui Sayang memiliki area bermain anak yang luas dengan berbagai wahana seru. Adapun wahana yang ada seperti ayunan hingga jungkat-jungkit. Hal tersebut membuat anak-anak dapat bermain dengan bebas dan aman di area ini.,https://www.idntimes.com/travel/destination/tempat-bermain-anak-di-makassar-00-r95nh-h8hcg0,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",,,OK_GEO
ChIJaaT-uKcCvy0RBBNAZ-7QN_Q,Masjid Raya Makassar,Wisata Religi,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,4.8,5833,5000.0,Murah,https://www.bluebirdgroup.com/blog/8-tempat-wisata-populer-di-makassar-lepas-penat-sebentar-saat-business-trip?lang=en,-5.1305706,119.4197459,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmzc-j3KHgfH3PatBwV2U4afevCEd-G2ydG0RMH_Fel-X_wPJZ8C2lFhb-lz-HIPDalfjW_aEUMRfgK-69fY64JcLeDWeqLeqUokCYWOg3EC1toZvHd6McIR5IqFAFnaWj9s4=w1200-h800-k-no,"Sulawesi Selatan adalah salah satu provinsi yang ada di pulau Sulawesi, dan memiliki ibukota Makassar. Kota Makassar sendiri merupakan kota yang dihuni oleh penduduk dengan beraneka ragam suku, kepercayaan dan budaya. Karena itu tidak heran kalau di kota ini kamu bisa menemukan rumah ibadah berbagai agama.",https://www.idntimes.com/travel/destination/masjid-raya-makassar-sulawesi-selatan-c1c2-01-zydpl-nybw10,"Gaddong, Jl. Masjid Raya, Bontoala, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90156",,,OK_GEO
ChIJg6bbPXPuiy0RHBVJC81ykoU,Taman Vatulemo,Wisata Kota / Landmark,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,4.5,5432,-,-,-,-0.8999014999999998,119.8886691,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG__yx5ymsFh_4BGT8ym7lQRf9SmELtgEK4kHyv1rRa35ZUnusPV6Aqv1RzmULikzjFZiLgoq6S1yeBNduSmlow3pyhMRS8koC6rhajobDOQlLqaQKKXafegxnqeuPBvu3DNVgcW8EwVkzP=w1200-h800-k-no,"Taman Vatulemo merupakan taman kota yang populer di Palu. Selain ditata dengan rapi, banyak aktivitas yang dapat dilakukan di sini.",https://www.tripzilla.id/tempat-wisata-palu/1635,"Lapangan Vatulomo, Jl. Balai Kota Timur Tanamodindi Mantikulore, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111",,,TEXT_ONLY_OK_TEXT
ChIJEc_1KyO7lS0RHz-h0O__gDo,Monumen Cinta Sejati Habibie-Ainun,Wisata Kota / Landmark,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,4.7,4886,1500.0,Murah,https://www.detik.com/sulsel/wisata/d-6594141/23-objek-wisata-di-parepare-mulai-pesona-alam-hingga-situs-sejarah,-4.012588399999999,119.6220022,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ6rY6toyYAHlD80udTvmKI5Jt3E8tRj-pmCm1wA70I96ykaaRnAasSrEPBiWIGgMSuKDjfDQblHEJxP05-gSiHpQog63l7AJJtYn3KDgppUJHWVnOJSI5STe_Mn1qQHZDS9rt=w1200-h800-k-no,"Monumen Cinta Sejati Habibie Ainun merupakan monumen yang terletak di Parepare, Sulawesi Selatan. Monumen Cinta Sejati ini, dibuat untuk mengenang cinta Presiden ketiga Republik Indonesia Bacharuddin Jusuf Habibie kepada istrinya Hasri Ainun Besari , dan untuk menginspirasi warga Parepare. Selain itu Monumen Cinta sejati Ainun Habibie, ini adalah kado Pernikahan untuk Habibie pada hari ulang tahun pernikahannya dengan Ibu Ainun. [ 1 ] Peresmian Monumen Cinta Sejati Habibie-Ainun ini bertepatan dengan peringatan hari ulang tahun pernikahan Habibie dan Ainun yang ke-53. [ 2 ]",https://id.wikipedia.org/wiki/Monumen_Cinta_Sejati_Habibie_Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111",,,OK_GEO
