place_id,nama_wisata,alamat,lat,long,kabupaten,provinsi
ChIJAe8Dxrrivi0RkTTxeTp61F8,Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",-5.1436198,119.4074821,Kota Makassar,Sulawesi Selatan
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",-5.1340004,119.4056311,Kota Makassar,Sulawesi Selatan
ChIJW_XJxVOLvi0RF7doOR7veJ0,Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",-4.8011838,119.8234977,Kabupaten Maros,Sulawesi Selatan
ChIJtaw3Gkb4vi0RstXpcGWwRnw,"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",-5.0144456,119.5749278,Kabupaten Maros,Sulawesi Selatan
ChIJqT4iSqHpky0RKXyR5A7BxFk,Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",-2.9951676,119.9106149,Kabupaten Tana Toraja,Sulawesi Selatan
ChIJXeflmUcreTIRThXj-qplVcA,Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",0.6269984,122.9798882,Kabupaten Gorontalo,Gorontalo
ChIJk0JLwrnivi0R-CtMG-aENT8,Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",-5.1516978,119.436993,Kota Makassar,Sulawesi Selatan
ChIJaaT-uKcCvy0RBBNAZ-7QN_Q,Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",-5.1305706,119.4197459,Kota Makassar,Sulawesi Selatan
ChIJg6bbPXPuiy0RHBVJC81ykoU,Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",-0.8999014999999998,119.8886691,Kota Palu,Sulawesi Tengah
ChIJEc_1KyO7lS0RHz-h0O__gDo,Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",-4.012588399999999,119.6220022,Kota Parepare,Sulawesi Selatan
ChIJTWtCS60Cvy0RB9LEfNoFeno,Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",-5.1429693,119.4074741,Kota Makassar,Sulawesi Selatan
ChIJRe5FBcayvi0RjN3evEJQtvg,Tribun Pantai Seruni,"Tribun Pantai Seruni, Jl. Seruni, Pallantikang, Kec. Bantaeng, Kabupaten Bantaeng, Sulawesi Selatan 92411, Indonesia",-5.548762399999999,119.9461783,Kabupaten Bantaeng,Sulawesi Selatan
ChIJeaVDy0Pjvi0RmquBLs_T5Oc,Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",-5.1538136,119.4946243,Kota Makassar,Sulawesi Selatan
ChIJ4RUE5IP2lS0R7-4_zE5BVtc,Taman Kalong Watansoppeng,"MV2P+76Q, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811, Indonesia",-4.3492856,119.8856157,Kabupaten Barru,Sulawesi Selatan
ChIJs8z4-u7tky0R0SmrqPRGQqA,Patung Tuhan Yesus Memberkati,"WV38+WH5, Buntu Burake, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817, Indonesia",-3.0952365,119.8664913,Kabupaten Tana Toraja,Sulawesi Selatan
ChIJidAw6lIdvy0RkBC2CayiAWE,Pantai Losari,"Pantai Losari, Sulawesi Selatan, Indonesia",-5.1436198,119.4074821,Kota Makassar,Sulawesi Selatan
ChIJXdb6FGp1hzIRj_DDslIOGQI,Tugu Zero Point,"FRRQ+7MJ, Jl. Jendral Sudirman, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",1.4907186,124.8391432,Kota Manado,Sulawesi Utara
ChIJleApO8v3vi0R8xU5_AQbpcs,Cinta Souvenir Bantimurung,"Kalabbirang, Kec. Bantimurung, Makassar, Sulawesi Selatan 90561, Indonesia",-5.0158591,119.682158,Kabupaten Maros,Sulawesi Selatan
ChIJ2ZoiF-LBky0Rez3x1SgEWfo,"Lolai - To' Tombi, Negeri di atas awan","Lolai, Kec. Kapala Pitu, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",-2.9656999,119.8652711,Kabupaten Tana Toraja,Sulawesi Selatan
