nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id,kabupaten,provinsi
Air Terjun Bantimurungnge,"3RM9+8X5, Pattiro Deceng, Kec. Camba, Kabupaten Maros, Sulawesi Selatan 90562, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEDOJe-HeW1wWUhJ01oayyq-MhmXtsSaEwOTzCMJ7dnO2MG1d_kORpqvRbOlWqeZoTQrztmkdnbL3R1PMuqZo2QwIoHgPsUUvuj6i_WnqZ0eRTPhs1wadB7eXj6R4sGWVFgoQNf8So9oep6i25_2mb5142vWIDfFG1H6773UyrD3RIsQwlMa4hUtQVB7uzIKKf41gw3D3A5ztVZoXVDcxviE_LShUzsjPPBsb6w3VG3H2hW0Kz9x6VlD8538A1MaE3Nw39gQLbOM6j9KrrqTRRLyI-Q3w0wx24CyMv-TDwAZ-ie729csRR2AE2jB5RZtkS-S0QfFj6H0LQH1LP0K8209uILeORlQawLvqknSEWSHUXULf_gG1uR0RtTwftnPpeBohWB5grAEvZoUo6de-P-yOxphVWIUgqgZbznUgIcXw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.9167431,119.8199965,ChIJsdlhfr1hvi0RKi_NFhTKIs8,Kabupaten Maros,Sulawesi Selatan
Pantai atapange,"GHGX+PP2, Lalolang, Kec. Tanete Rilau, Kabupaten Barru, Sulawesi Selatan 90761, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEE-8GqfDBceQhl4h-HZcg7htsc14BfChuI5je7kBPvdXj_7E7mE_MhoR6De60-LyJsjRgxodxxyDY3H9DZUMBEcUbP-TXvT46KQX9JRWK66LzDADzX9T01Jw2yPAPgMNQj11ziojFJTsDW7LIH5jXyifubfHvsm_JQknaRKZM7H1sXagfak3mk-GsCYZ14-GNHfPWYVF9Y4NVyIm47yQQd78n5tG9mw4aDOStvyAKK7OaTiehHubOJnemikoF1K6fOaPPPwiSDkKR01PvO8QWNy9HvloEC0t0nKxrooiDEojRkQHOGyXlbMgvW0PE_UrPtY5sez8nL-Dor4LbWbbPUPQOYTWSsdOrR4luYcblr06YzQpqxw3UHJJ_SCua6JkHggRUfrNi0hQNktlImC0rqVf4I6NQOKfS-pbU2Z94WV0ae5&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.4732264,119.599251,ChIJ39sTxJcpvi0R3J_0EDTrB0I,Kabupaten Barru,Sulawesi Selatan
Bukit Nanas Bette,"CM2W+47, Jangan-Jangan, Kec. Pujananting, Kabupaten Barru, Sulawesi Selatan, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHYq0lwjDdhaDJ4yJaz2ealXrMeXNpQztWjX1osQfORtuWkBP3bbtJcQpjx4XRiXHPyrRWo_DMvXu9yVEDgBHNn1s4Wn-MEPbCj1oS7KWdX7z3sxioJbVAdmiSJ7swbnly7PbU2rT05ysfLlmQ7cxiF2aWMNnLDEvY-G_F-_4hNnjtuW_xU6Vwp5X0JJmC9IcxQLtbPuUZRfhl2NjOEQdIQE8gSEzFN2JZ7g_SgGseMkGsFuRveXyLqbNCdvU19flydR3xV-x3dzyJ7kZiHh3LQk7nHedUwIXEyTbH1oy5MNlAJuJUpACjZVBmQ0KRVDREtxNDV3uVN7BfFYeMjkWB26u_O9H9vTk2D5I6izMUMvRUXRX8hKVzS5kz4LFtdqcMU8WFUbiROngKK-7ThzwmoWD40N0VOJPG0iqUwQ8XFCFo&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.5996399,119.6956469,ChIJx2TVkDQ7vi0R2LOBpEm5FuQ,Kabupaten Barru,Sulawesi Selatan
Tugu tongku Tambee desa Landangi,"G4HG+HR, Matano, Kec. Nuha, Kabupaten Luwu Timur, Sulawesi Selatan 92983, Indonesia",5.0,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEk39oKM_18_AjBDBOyrrzWmaPkPsrVFIGpGLbI3atLSgkniSepU6T1AyyOObfXG0PS-kArhLxgFduL7yi11IxtgIUYWgs31zs9TluEOiJ9TKOuJNaaO4axTzFfQ8Qnqqe4R64qFwcWAm3uNXC2bncovMsIg4vGkrX9uURW4jQqH-B9uOQ7oYacsNczba_wQBX1UKBqYCkuP618cZyu4bdx9ZeVjqJEvTdECMzR3g8Kr4oshwlBzwsuyDOnYU487Ku3HvKnVO1EkBV92_R4mKMh-pmx61hGJaG_RkWoM0CZW2ahA3RVq9zzZEPps9XEbhsdAuSVRi0IeTAs78Fxc_5oZNiObZoaLqmjfm2AfMXj4PYSTyTfxyYGv_lwL721VmpsahnQJh-soGwWEiiHPMBRqn-3OaOeSz13oxvUYrJe6t-c&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.4711108,121.1271211,ChIJNX5e9UhFkC0RS81bFvNFNDc,Kabupaten Luwu Timur,Sulawesi Selatan
Humusu Beach,"GJW5+2WP, Kulur II, Kec. Tabukan Tengah, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEAoiLiVrr-bZDieFuZQhMejOwdAlDDnClnS4XrnVljCL528KKDyTljDhB5veYFxzVWE2Ezr0zx6W1zrqKmJElUtZ4KrPVlKxPHDtCzYFRDMnsag-1cMWqj3BHL83eK_NpUGmlFw_MP2x8k75VA-c_UckUE_NIyz9d13rxIIFsSu2nhFF0pYT-bW71Idcz7ow92IKi-vKIjVQu0lc4MjpYHO6glO94JuSeBWckh9r3fti0QrcgzxNEHSwC9Pp7foue-Jxsh8GaZMTr5zlN6jHukNfg5jWfO_30v9XUjb_MM4GGEQvJWHJ_uc1DX2QaBCQxIF3jwD-dUtF-PDFcCdRn4yhpCWCRa1jdZCo72EN8pmc9n-s-r-vU70FpJQAE_iiFuSooBTgt74gK0BxRmYNPDsJzKi9fAKRZgmxlHSFLyuCx6&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,3.5450767,125.6098129,ChIJ0Z3gH9SfizIRPXhi9E66mUU,Kabupaten Kepulauan Sangihe,Sulawesi Utara
BATU SENGGELOHE,"Unnamed Road, GF2P+R7R, Kec. Manganitu, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEG5PGLp5GQ9KxPLjqtm21dvjtZ1Vn6MHZTsWzxD8rbrVuthE6eFXAypABZFg1deG3GzhJPcOfhjwPGS5SmuZxH1KYrssjJG-LKnlJgNEDQeKvdXkCoqfkX3Ow5BCfX54ui6jA3QjY8R-sSvGuZ_vrsCLUhwfJkaKHj_4Wy6tpqGWxdcuy2bF19j6kCDpgzt2LOkdEjNg0u1C_vpJf24uN_Ph75NuyVm8mSO2oMY_9JSmep-augqX0O73Pv99BGYPl1DtBOUt94Aisf7pm9Ja8uDMyJqvChiulWfWcYaRMicHZZMFA49dSi9-Lm9IONmAXYjfrKvdWb3vDXHZ4sVHmAqN4T-saBq7IEad4kRIR55mwkkqCnDis7yIAvaqh-_Tfcy6c1-w0aJCSPTRK1xIjZNWSO1sopmfCKMtRC8BK13sYsh&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,3.5021066,125.485632,ChIJK4LnscOjizIRU8bgcDOGhg8,Kabupaten Kepulauan Sangihe,Sulawesi Utara
Desa Wisata Towale 2019,"7MFJ+H59, Ampera - Surumana, Towale, Kec. Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",5.0,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEG5OC_8PSfzw0ysxOoXf9prOro2A727qu71t7XRTTyY9S19srIxRG9or0h71t1lxr6pAcOS_hZGXxIWTuvX-xU7lA249AYG1HRM-X7Mgt-QcQyTjJucgkCinBOxO3MZnokXSp96kkMzeo6DPvV8ZDpeHwYUVgsSz-mh9E1nS9wH1A7eLSU2V6nqEY4a5GCEu-Hl3kjBsHJ08xJ-Fv-4koClddux6-WpHJHLNHNUGlWiM-KVkURbmDnwr0FWE6l-IFWfnt6lkuDiHzmKmacwrPCS36db-UAPguR65HjPWQJD3wu3UGSi14xH4-dmrnzFsR86ChTeSlICDGl1iI9CCVRvoCN7mPPh5PCkh5Np5jAJLIlK-jlafNq3vJjZnNWrLWl4X7F31Bm-rCI8o6veU8dUyO3ezbhK8U3BIBZ4AX7m_Q&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-0.7260928,119.6804713,ChIJ4YORGwC9iy0RMxbhyqoPe0A,Kabupaten Donggala,Sulawesi Tengah
Pasir putih/ Sivalenta bose,"RRM3+9G5, Lende, Kec. Sirenja, Kabupaten Donggala, Sulawesi Tengah, Indonesia",5.0,9,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHV6JgSl-7QhpdDS9JWh_nmPDn43E4we61xCimxhXnY0gtcfqgRC2b2dSmNVBSab3BlaQTrbgZytVJ2FnanP3561hItVhUgPrmxi71V8P-zvib2Kw5dtH9wthNPWUM_B8QZcXRR7OTgnzjXj3HidmlVDbUjG302SY4Ltu-66VOuo0az_sk0UfSWCWxXX70ReVG7Q4Ts-UiRUINBhB63QLsyRc4NamD5GZpO4M02wJnkoC9bLbXb4jNOpGEq9ILVfSbx-6puk46HcrPdG55PYRtlrd4Rp042RzREUi1PMmhpY1gUU8ZARsqU0rLJF75llAbSfux_D8QMAJegCvkTjoRc7vkee90fTIu_J5d1NaX2oI__RfOBeU6yMkDmJLVI6IBC6PVPf_iLyAYPAztXv97vJg0pTaZ3diyVLwRCSfWfDx0f43W7WfpnXuA_rg&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-0.1666105,119.8038476,ChIJcSSqPQATii0RBkUY3-Cd0k4,Kabupaten Donggala,Sulawesi Tengah
Pantai Matano,"FX7C+27, Matano, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFWXgh1dajfTen9AfIdMDuHriNmvSKji0ibFuMvAbdj6OzTg2YSZBCi2ONe4aTeXtupnjjR8NTzGoav2nI5Ar7oBICK94Q9vs7mdIxJ2mTVEs3rLcnCWS4szq9oPRtwSZwYUQ6S9URD6_9GGHwr3w4qjkg4vw1vwAPxoPfcDwUmIJXUShysKPqkPsXmxy6GC8D1WyuqFU-ugXSP2x0gIKd25BLGNSiktUt883Xt80665dJ3ZuAsRm6cDXCeJAysAF0OjBOtcKlPzyFsL51PAv3C1yPTvs4BC0xSEk6JRuaXCBSz1JC-45cc29RJt5Khjhx5BdTmPQFvYy5FVDQm7J1F5PpgtEpmFZkxyj6zdCkoJe0-LNms-BvrU-MdQfHGzkp71w5KqZDKxi4sobQgvYvWQqHOpZ7J3UBhjsOwtgd4TEZmXllRbyEBTQ1xn4gb&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.5374893,121.9706752,ChIJdVvzP6uNmi0RqXA76Rolatw,Kabupaten Morowali,Sulawesi Tengah
Air Terjun Lalengan,"MR6R+7PX, Lalengan, Kec. Buko, Kabupaten Banggai Kepulauan, Sulawesi Tengah 94881, Indonesia",5.0,9,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGbB84RfEUvinFQRfWPx_hkVEH7eQBM39hpv0Z0JWOW3Qj8s78DQi4OpQsDSca22XbBEzR2UzG-qLxj1LboHktRLBpkYO_uP8o5cSfIRLSVDpqwUJ_jNmCmW-dBRUke2Qov3cdli81Cmg2UFma_ZjExNPSM3YOttdYJC0t0u5hvb4dXdVY4DO2b2W6IF_PFMngDAxnlTpmhiOFNiIGioeDJl3d3sQN_3OiRXBUiHbnNrhgRnA0XMb5mt-ZCepJG7rmv4dRMnY6ntzXEauPaMYzJ16WL5rHnQMzH4GxJQlW-BWAtZXGZWm_8GlQlSG_52XjXQWgNUJ4A8bC9cokcM6JQ4goXlGCPj9BazrgsS6aTbPSOtNsxeWN2EWteV8JsiLPAQ5TOWlwQqNf06fCqm7tKMGko0mMktHL5PqDg8V0DhKW2xSCBvY7t2fIvChEf&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-1.3392572,122.8418684,ChIJWxpFSuhthC0Rd9YWd_-XoKE,Kabupaten Banggai Kepulauan,Sulawesi Tengah
