nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id,kabupaten,provinsi
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",4.4,17574,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGsdAa4fWBcnoQC6D4GqCBSVarVt2hYbaK0uVSb6ILYIKadYPJqERhm3GfFiEdTdToNVYY9aCkQNaloN_FjRwcr0hElMAnM1cfwwrCfnHYXp0MeR9fjP8GAb_wo-Fsog89Z1DOuZ8XZZXs2Z7Pk18hf63mTXx1ORhDUlY6NmR-GwDVWtOoePIROHI6NeYfD3jtORW1uRFyoau4G4aLXLsJEb-p2IU_UY_Jv0K8e0f2z-c6rOg8FCDZS6TG7PDtxjHKydnwj55jXJiFZrRh7UCJ5oEpKoGzYsWCnJbm10rAQrdDNxuqArm8BAQOADgJT_foECAs_1U-DY7yTN0zEQ0MrITqUi5X4i61ZtvIHuqf8c1z3PtZgWMuLkLVf5utPGQOtD1dplO_oZs7E0FMihR2oCwz_6HulDe6HfirvZFqKdjE&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1436198,119.4074821,ChIJAe8Dxrrivi0RkTTxeTp61F8,Kota Makassar,Sulawesi Selatan
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",4.5,14273,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHNW9zQPSlX6uZMtR1Q4jyZARpZOa2jbWUHOyiWVG5ul1O1EGLfjvxlvFXPqePZj1FqJDYKpcvYm_QMTCWGUWE6KopgJ8ieiN4Chy1AaIosqYojGTWov0BbVvCxf9jxgBQySosywt7JJmBGTQdaD18TUGkYEnqpjGvMcLA912zOjqXTfosjXpZIc6DfnpcAIoqKNGLw00lS0tgrHyN2zzLmuYJMaTFkXxV9riNqjbEPQfbGT_uYTLkk24dZQtOmmFsyKLJN1snDe9S6fyT_C2CZI6RXX_9wY_h5wn23WyKtQEmInKXk-4pw47pDnY7HRvjFASEX4rdHcJPraHO0UsObh4QjMr4nMdwIfFJ_yCuRSNgzFZ6Nrtfsevx2ArieO6eMCci9HjUUQ6KjMP7USvtDv8WljNZqyMSg4DCN6RxbtmQ2&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1340004,119.4056311,ChIJ7zfOEbACvy0RI8-2wSg57Sg,Kota Makassar,Sulawesi Selatan
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",4.4,12283,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGPYOItbfWPCTAbD-QHYDBddS08zg9f2hnXb-sI7beeNJe8TcUJvFxJqLl-FjLWAl-eXsBSZmy2_VB-Zx_RKHvRX3GK5apsotex07M7x7yB7P1_1pRgQ0bJFuTQgKV5yXI0YFJjrfE5XcK99XhoaOYbKqQyP5Jo1goo7Ki0EsTjIGUiMXELVvkWTAYKNWT7PedgmNbBPVyzF66gHIGaKByHk2NKM16djriNuEb2yJPidetLAkS9pJq01C0Ybftxr8EbfP_ygnYoovZ9iyaJPwtchKbOTEnidON2cJnULM7b7ae1R6vJ1zZXqM9dHhiUNlXULmaxxXk8A4KWzzvtG24xOqXetIKZvPemrKPInEGQ21BQxHlJ0i3rs5WRy5s391tKtUclsMaaMd8Qz3nD8HoqfUICU-PgoqeQaTJp0WKHWZ0&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.8011838,119.8234977,ChIJW_XJxVOLvi0RF7doOR7veJ0,Kabupaten Bone,Sulawesi Selatan
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",4.4,6828,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGKgR0WE17KcZQxe7z-4g0e7DJP1ifsJREpZ_ch9KSVYxCSAH2vixZ2UxiT8sntSYSo6M9ExsWp6ykn6J_U_xRXUZuuE1fJOqBE6OBgzLftm0F3AZDa6JoFUTDyPdYDx2kcLRCEc16C5J5EaXVxNwt-EJ3S3fJzEVzWTAOIVUMeZoxxp9jqr8sZCR560D4zesW2xpN-NN05JXXwz1zWQpMAFAY-fEnNTP01_GWorb3VUb62VbpLqkc7NIJnntTZxWs-Azt23zYrXazqzMrF1pUQWiWBwqOpKj0-X2TFEyoa7RwKyvbtM9RrUJ966sWSJBabbypWSw2hY-aKzZlFpC_7pNN_bIg-J6CLm3cde-P_Si_qS95HDxl73gAXuUQkZzMngg_az0PIHJL2ePaEK6fnoI7QVIhjvan1_Hq86OkidYDO&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.0144456,119.5749278,ChIJtaw3Gkb4vi0RstXpcGWwRnw,Kabupaten Maros,Sulawesi Selatan
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",4.6,6780,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEE-3usf4ngVZd1Yal0BKOVL3oVVni5o6-94Uj0qmizxQxpd9a0QE2hUpWg3lpNMsxQZdq1pl5b026zVw8LPXL95AvgKCH-eqk_issTEXS383RZ5O-qbUaVTNWTMhYvYvRlCqXWj_UxyZNLukciMta_heQomjtVDkA7jTybc9BNnBiNWK2P_MlkZwQMQfs_PKqDbR1GSmFjn4m2Etau6tBzlZrPsXndaDNRNWYLIsUZZCFtWBFE4RAA-TKxXly5CXv130OXiSaQdjbsNzEsoSNNeCI5EzCuGF6e-GMcH-BSI6oAA-Ah_cZWBdhj-peuZJS3BQ2X6rl-K92Queh_wQujpdqtdR3RMrVC7MGO2A2QqCwyNVQNHeZQTiOJ-dzj2IlamUjVzCLDAy7Q3cfN_BvCPF3qFhvA2-VPyWRgz7KDeA-ve&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-2.9951676,119.9106149,ChIJqT4iSqHpky0RKXyR5A7BxFk,Kabupaten Toraja Utara,Sulawesi Selatan
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",4.6,6145,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFTMDSB7_uecdKGmbD3KZWOzXZUZJqQa-WOGawZOorLavMS53oAs_9eZT6wkPIta0b6PwOTFqeV_FaaoAfc5QUjsCh1W4JaC4z0ygXBlBa0EZCCfFDxGHcZOjGENQ_Huufh65sVBVz3v7b5PS-KGcobpDQ-iHG6718SaYHeolLLmqY5rQeQ6A6qPBPbaCzR-W1wQ0pozblO0gPZvRTts9X7dg16hhqPN7ef2do6JE5giN6moZD59eeoT5q29JjOjIfnKFYTZFtwxu_taRSF0zLLru7DsbZ8EFbYHaG8E5e654y_jvpdLGOIcvWkBCue-1YVoK7aZx8XXnKAuXwYRFxuzq6h261jAXQnT3R8aUcYfJ4gwroBONmXomopBU8hkQuMelv_e9O16ARkEnlLQxnk3xW9yXCXlAEQOVQUyfRLr88T&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,0.6269984,122.9798882,ChIJXeflmUcreTIRThXj-qplVcA,Kabupaten Gorontalo,Gorontalo
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",4.6,5922,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHoBe2xiHI6JoDs8YRCx2tAj8tS4NdAfns7WJcvNo3WXZ9bvuOM-SN2x934NIAimChi9uALhWkbJMrRKhYQKK13veM6K6F3urc6BItvRXzc8ZZdTSx1__5_R8L0lv1iBQfsEOGkGTeqEGGu6JxZaLUQwSDbtPpEuBOhDnV-W5AEvUeq76JmsF771ISK7WvZSwcNtSmv8S6hIBlEJa1LLnniIkYkqj0ywHBjsdSqv_tunKHz3U7EkGfstyLhoLstA5LaoXo7il_OFRGRCy0BZlQU3qk5snjdNC7TdW7dYU8YgLM-g9wcUiSFTgPkENZJHp2XV64MiE8ZDj9noRBdzj-beVoIj_RWROarEminY1DtpZriVXOueU8s9RLEq_3xOzqq2ELpo6mcC2-knMcSS-Utmehfi5yuCVkw_wmYKff1nutJMloXsivkbcH_F4YD&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1516978,119.436993,ChIJk0JLwrnivi0R-CtMG-aENT8,Kota Makassar,Sulawesi Selatan
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",4.8,5833,Wisata Religi,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHBOIUP1dy5oGtQ24TeNj4LHWwHUs9iV-PXp7t_D4Uf8LuW9gUnfAkQu5EFal1kh8fpHNlLZM0FiYUa1U9MhTBfTo8AB8CQMGgco6sET09eoOyNWoTAAOBgoCjdexbRXJs1sSW5GMRnTllHdz-xwCCrQmoEFBf8yeX91lfvbCDhTCBqF5uWYsCt_6a7IZbzKZ1JwA8zrl1K9nrag87BAXop7yVG-IjUh6c3kQtr8kGlBms5AuP37LjZpt8GvqGEGJqlbKNvZwqcrj7GbSIM7qu_e1OYsvhHyrqyFOtRRVeqGBldvOOzMUvgpMAkSVqZvrEZD3B0&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1305706,119.4197459,ChIJaaT-uKcCvy0RBBNAZ-7QN_Q,Kota Makassar,Sulawesi Selatan
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",4.5,5432,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHR69D3paRqlQG7M-LG8hyC-yqXAAuA5jksJCkYNRRva8ESF5nMp3QEIMvJ_prWcomuj7It7q42bbF0qxljLHOsP-Z5J5HWolZTK2uq_PJUqzmDQRXspyPWRWrlwr99sOAPn7IBurYuHaU0ke8sKY6_tnThZzLZitxOfTzk3olij9TfPI2vEOW00Hu0JHHJeXeG7gxUMCF_CG0z7MNQBzXhgsGPhMQmaeavqVWQP2lRWq62Ib-DsjwHn397ZOJ0bSkFRhIuwatIawhJwaqmAP-Y2vODIYZyzlHihUPUBMN6j-eVL6mPITqJqPyFVZ42W4cKHLuBWwxynwLVUwUCdvBEVZ1_MDp9aUnPTXY1GpvO9vKPu7dcarY31ynmazfyNRi8Ay9imcsMxkMEUAsq9-a5TSUzk8hbuYUfMg9Z4TCVEwv4FwToHFn308MUsT6N&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-0.8999014999999998,119.8886691,ChIJg6bbPXPuiy0RHBVJC81ykoU,Kota Timur Tanamodindi Mantikulore,Sulawesi Tengah
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",4.7,4886,Wisata Kota / Landmark,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHC2xV5YQRTbkQRz2axzDec6kPFFuV2kMZKp0Y4OHRvuKvjRidWSval9sR4SnZfy7r4naHC-yrDD6Op2_d76rlSJ8tcP1eVdgVW5KHINCw1QT9j-1h7PzdqwKAhkKMAm9fb67SuhIbwV1ZZWE8XEz1OdDjBs4G16mTkaEaPTUBe6-XNOlDGbDvoc9pptp79eVRDofxKOeisdWcdnKFoORowuQme5ZXmcjE8kxl85VF2sFJGCh-NiW8ERh1JXVd9UTsXnh-fzvRjaZYknqLuW1qEmHL4jddA7Qux-a4M98sxcG_eG8iwGfASaP--BSaUsXH2QE9G7bqZnUSHq4Heeq2bTNMdDZRj-hJm8pSb_haV-Fd6GJUSaePN54bQxRrfvsgrd938Re1VZ_BY3iBicIBbh5BO4GUIiBSzOurnSj9nyw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-4.012588399999999,119.6220022,ChIJEc_1KyO7lS0RHz-h0O__gDo,Kota Parepare,Sulawesi Selatan
