[INPUT]  D:\semester6\mc_learning\scrapt_wisata\image\..\hasil_scrap\wisata_sulawesi_cleaned_final.csv (2708 baris)
[OUTPUT] D:\semester6\mc_learning\scrapt_wisata\image\scrap_image.csv
[RESUME] Membaca progress dari D:\semester6\mc_learning\scrapt_wisata\image\scrap_image.csv
[ 2652] CARI: Twin Lagoon | Konawe Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOvRlqORFUVewaMlq9N32QYYbvsNnL_...
[ 2653] CARI: PANTAI KEI-KEI | Kolaka -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAExOg1SCskSNra5xt03747bvtzuyga26...
[ 2654] CARI: Pantai Tampunabale | Muna -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGwu8E5YlQRVR73whcqV8kF1XSxWbNqT...
[ 2655] CARI: Cliff One Waara | Buton -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEz0dl5AWANJ-sHLYgWdiBcPMUVO891-...
[ 2656] CARI: Gong Perdamaian Nusantara - Mamuju | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWJBeutaIudzNra9UOEhdkA4Y9poPMu...
[ 2657] CARI: Anjungan Pantai Kota Polewali | Polewali Mandar -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgkL7c2I5_pfOJxVxeyuVkzYC4jAk_f...
[ 2658] CARI: Air Terjun Didingga | Gorontalo Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6HVnr_pOgqFTzY4ycQ3zBM0iQfygbl...
[ 2659] CARI: Permainan alam bainang | Pinrang -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2xwVEiVo9oEHxKKqNL5aVIGe8OC0fm...
[ 2660] CARI: Spot foto ladang jagung Bukit Jati | Soppeng -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNlTu1GQacdh-Wi-nY9kiBzkkUnLz0d...
[ 2661] CARI: Buntu Balebo | Luwu Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDT42FfYW0ivHXaYKihB3XxaBsIwldz...
[ 2662] CARI: WISATA GOA KALO DEWATA | Palopo -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAH99LQiM0NU5-DlQx7gkPSTulNA1zHVX...
[ 2663] CARI: PANTAI SIDATE PAKUWERU | Minahasa Selatan -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnu8V-4tW3kflSPgU16mrQSCFAYbF5C...
[ 2664] CARI: Puncak Keletambal | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL1kR6hGhOy7fqxyy5KHaENqjhehhBK...
[ 2665] CARI: Kawasan Wisata Sou Bauta | Sigi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoFhXCIab8IfiQAAh7VShb8WGc-fNZ3...
[ 2666] CARI: Mangrove Ambelang | Banggai Kepulauan -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEB9gTLTGrKBqJcp4SO-gD8DJrFF6Aft...
[ 2667] CARI: Air Terjun Torotuo | Kolaka Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOzsl8OKnULjqnJymAnxqZ6RQxhDESo...
[ 2668] CARI: Danau Moko Putih | Muna -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8GOk33dZRvJjWmhp1u1HKKtPIBHM6M...
[ 2669] CARI: Pantai Galetto | Polewali Mandar -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAERCJIyB7j52EYTYOc9_hVJWm_3og4wf...
[ 2670] CARI: Dermaga Padaria | Maros -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYtDr-KyRGOLvZsauldYq_HMVtuSxYl...
[ 2671] CARI: Moncong Peda | Takalar -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7VPEdw__SN-x5w7JWBHRA2BTs4d0Dk...
[ 2672] CARI: Puncak lurayya | Bulukumba -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFA6P9A78m1CrnG5BOYSAFpL-jGEtkw0...
[ 2673] CARI: Air Terjun Salu Kata | Toraja Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3wdAMgdKNt2IbyZxYszdr8uyZBvFAA...
[ 2674] CARI: Wisata Kapal Karam Balantang | South -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAF52RuQInS3Qici1djAe_v9wpsGnXJva...
[ 2675] CARI: KTM Landevaso | Jln. -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsKOZZ_Bm8lbxyW5X9LWDfQRABgDwT9...
[ 2676] CARI: Pantai Bolinaso, Desa Pelawa Baru | Parigi Moutong -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZP_kKMmbhKgObIxRCgoCV0_9hzu8Fs...
    [SAVE] auto-save (25 baris diproses, 25 OK)
[ 2677] CARI: Hutan Pinus Lantongke | Morowali -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlzGfaP6Er57BZwXCr73tYXasLHq3io...
[ 2678] CARI: DANAU HITAM | Konawe Selatan -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYyGW94VI3GPKB5GdK6zu77T5HjGTas...
[ 2679] CARI: Wisata Alam Air Terjun Teppok | Sidenreng Rappang -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFn9P1AB3HRE_wfHqhdYCSj4kAmKcw-C...
[ 2680] CARI: Floating Houses Tempe Lake | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPDnU8wGe8IxEb154hRGXb_BUkoLTZq...
[ 2681] CARI: air terjun taddolli | Sinjai -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAECTf4wn2vh_yKBPph2d03O53FwrcQWC...
[ 2682] CARI: Buttu Lanjanan | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEsRSssFBLeHlonncJqhDfYu1TD-iAbN...
[ 2683] CARI: Lante-lante | Luwu Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkYqqOfQgS3mj1uQ6zqRtSC003NdHXb...
[ 2684] CARI: UD. divo sejaterah🌽 | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFp-cG3cNfN8Ye6jtvn9H0GWzhCGPj41...
