nama wisata,lokasi,kabupaten,provinsi,url_image
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJhF-y_E_-JkBEXPJy2zaSIudVkCngXGOExTj-PRLvhU923H65-hvHciDLMmW3kBv-ASo2QcOGQrEDf8lQ9noMcoXM8cuOMLvtbKPLWRKGs6VUIleOcIlInFZvEzcUVzE0TLYo=w1200-h800-k-no
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3mUNaIXT8W5KIOigQdiEBMLgJHDsPgimdkLVRxkdcaV6xqD4pBO6LmpifIRcObB2bCmvI4dfBsXljr_08Ki4AS0W6yImda7Ej3IjEqA1aXBfuewnSTQFkBn0LbtIPdtWa4-aW_w=w1200-h800-k-no
Taman Nasional Bantimurung Bulusaraung,"5RXF+G9H, Bentenge, Sulawesi Selatan, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOcKePcx9v9SYA4FtVrRiQMKWqrTHua9tnlGG-fg3MnGigOjyVIygeT2YKdMMHKUJvAk7i22fn05L_ciqk-HTE6AB1FFrd9bBVibOk0MDblB_MHjEPikf8quaZAZzO88tqSX3X=w1200-h800-k-no
"Pantai Tak Berombak, PTB Maros","Jl. Crisant No.3 /C, Pettuadae, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHU89Bs11mY_XQEpcOU3ndA8nYpp6OyHnrlHgYC-qZG7aUqxvceyh0bYkxkj_b1tips3KaB-h-TGPB9kjUgJZgf9KOma27zIFnUIBu67Vs5_UN_dQCDDzbQTsu4Gjavg-wEsM2tXg=w1200-h800-k-no
Tongkonan Ke'te' Kesu',"Unnamed Road, 2W36+W6Q, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFam6QeW79vhtKlFVW-GK6knfCgJm08LA3rB7r8NFK7ZL5KXZdMd-kO6dIC0_OB1xCnjwlw5ol3PWcjZNBc9U2ab64PkCynvbQ448Xebmf61LUJpdyen4kpH4__tYNf3kp5VbR5GQ=w1200-h800-k-no
Menara Keagungan Limboto,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214, Indonesia",Kabupaten Gorontalo,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFigF5NDboN-iizDAMM58Bq6eqKhYufwspU0CNNQWH3YpooXgSyTRUT9LeGX0EpI1ZFGaiKryEqIRMQ8vHXqB2Z0Ht6Eb13DVi4fF4LF1zL6ggoU5UHGL2e_QEBc8voNmpXFa6XHw=w1200-h800-k-no
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHua4cQlnWcl1sTPQDojxG2ADoXdjvyNVycOpLFX2Mx4i0B0ore6lPecpka386zJ18fBCE5IXsABaQzR1KxywbjB-fFvff5tGyeOpI1m4h5XZVuc6LPmbIV8ox4TIvNlzwDZ6GM0EbZHFNB=w1200-h800-k-no
Masjid Raya Makassar,"Gaddong, Jalan Masjid Raya, Bontoala",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmzc-j3KHgfH3PatBwV2U4afevCEd-G2ydG0RMH_Fel-X_wPJZ8C2lFhb-lz-HIPDalfjW_aEUMRfgK-69fY64JcLeDWeqLeqUokCYWOg3EC1toZvHd6McIR5IqFAFnaWj9s4=w1200-h800-k-no
Taman Vatulemo,"Jl. Balai Kota Timur Tanamodindi Mantikulore, Lapangan Vatulomo, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",Kota Palu,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG__yx5ymsFh_4BGT8ym7lQRf9SmELtgEK4kHyv1rRa35ZUnusPV6Aqv1RzmULikzjFZiLgoq6S1yeBNduSmlow3pyhMRS8koC6rhajobDOQlLqaQKKXafegxnqeuPBvu3DNVgcW8EwVkzP=w1200-h800-k-no
Monumen Cinta Sejati Habibie-Ainun,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111, Indonesia",Kota Parepare,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ6rY6toyYAHlD80udTvmKI5Jt3E8tRj-pmCm1wA70I96ykaaRnAasSrEPBiWIGgMSuKDjfDQblHEJxP05-gSiHpQog63l7AJJtYn3KDgppUJHWVnOJSI5STe_Mn1qQHZDS9rt=w1200-h800-k-no
