place_id,nama_wisata,kabupaten,provinsi,kabupaten_gmaps,provinsi_gmaps,kab_dari_teks,alamat_gmaps,lat_gmaps,lon_gmaps,status_gmaps
ChIJAe8Dxrrivi0RkTTxeTp61F8,Losari Beach Platform,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113",,,OK_GEO
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Benteng Rotterdam,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171",,,OK_GEO
ChIJW_XJxVOLvi0RF7doOR7veJ0,Taman Nasional Bantimurung Bulusaraung,Kabupaten Maros,Sulawesi Selatan,,,,"5RXF+G9H, Bentenge, Sulawesi Selatan",,,NO_MATCH
ChIJtaw3Gkb4vi0RstXpcGWwRnw,"Pantai Tak Berombak, PTB Maros",Kabupaten Maros,Sulawesi Selatan,Kabupaten Maros,Sulawesi Selatan,nan,nan,,,OK_GEO
ChIJqT4iSqHpky0RKXyR5A7BxFk,Tongkonan Ke'te' Kesu',Kabupaten Toraja Utara,Sulawesi Selatan,Kabupaten Toraja Utara,Sulawesi Selatan,nan,"2W36+W6Q, Unnamed Road, Pantanakan Lolo, Kec. Kesu, Kabupaten Toraja Utara, Sulawesi Selatan 91834",,,OK_GEO
ChIJXeflmUcreTIRThXj-qplVcA,Menara Keagungan Limboto,Kabupaten Gorontalo,Gorontalo,Kabupaten Gorontalo,Gorontalo,nan,"Jl. Baso Bobihoe No.308, Kayubulan, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214",,,OK_GEO
ChIJk0JLwrnivi0R-CtMG-aENT8,Taman Pakui Sayang,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",,,OK_GEO
ChIJaaT-uKcCvy0RBBNAZ-7QN_Q,Masjid Raya Makassar,Kota Makassar,Sulawesi Selatan,Kota Makassar,Sulawesi Selatan,nan,"Gaddong, Jl. Masjid Raya, Bontoala, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90156",,,OK_GEO
ChIJg6bbPXPuiy0RHBVJC81ykoU,Taman Vatulemo,Kota Palu,Sulawesi Tengah,Kota Palu,Sulawesi Tengah,nan,"Lapangan Vatulomo, Jl. Balai Kota Timur Tanamodindi Mantikulore, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111",,,OK_TEXT
ChIJEc_1KyO7lS0RHz-h0O__gDo,Monumen Cinta Sejati Habibie-Ainun,Kota Parepare,Sulawesi Selatan,Kota Parepare,Sulawesi Selatan,nan,"XJPC+XR6 Lapangan Andi Makkasau, Jl. Karaeng Burane, Mallusetasi, Ujung, Parepare, South Sulawesi 91111",,,OK_GEO
