place_id,nama_wisata,kabupaten,provinsi,kabupaten_gmaps,provinsi_gmaps,kab_dari_teks,alamat_gmaps,lat_gmaps,lon_gmaps,status_gmaps,kab_ddg,prov_ddg,snippet_ddg,status_ddg
ChIJW_XJxVOLvi0RF7doOR7veJ0,Taman Nasional Bantimurung Bulusaraung,Kabupaten Maros,Sulawesi Selatan,,,,"5RXF+G9H, Bentenge, Sulawesi Selatan",,,NO_MATCH,Kabupaten Maros,Sulawesi Selatan,"lat=-4.8011838,lon=119.8234977",OK_REVERSE
ChIJt92KUDIEpy0RlGfICd6iJl0,Taman Nasional Wakatobi,Kabupaten Wakatobi,Sulawesi Tenggara,,,,"CWPJ+J57, Lentea, Sulawesi Tenggara",,,NO_MATCH,Kabupaten Wakatobi,Sulawesi Tenggara,"lat=-5.9011111,lon=124.1165972",OK_FORWARD
ChIJSwpWJRsTiTIR5E0QCnZogkg,Pelabuhan Ulu Siau,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,,,,"PCM8+39J, Tatahadeng, 95861",,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
ChIJk1pwuGwNiTIRxNv8HoLmtFI,Permandian Air Panas Timba' Ko Kamp. Mini,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,,,,"Q999+5RC, Hiung, Kec. Siau Bar. Utara, Kabupaten Siau Tagulandang Biaro, Sulawesi Utara",,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
ChIJ0-9vxu_GlS0RaReFgKOigsU,Danau Sidenreng,Kabupaten Sidenreng Rappang,Sulawesi Selatan,,,,Sulawesi Selatan,,,NO_MATCH,Kabupaten Sidenreng Rappang,Sulawesi Selatan,"lat=-4.0032537,lon=119.8699493",OK_REVERSE
ChIJJ-CQMyihiTIR3hBFvfpaUZE,"Danau ""Cinta"" Makalehi",Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,,,,"P5P9+MXR, Kab.Kepl. Sitaro, Sulawsi Utara,, Makalehi, Siau Bar., Kabupaten Siau Tagulandang Biaro, Sulawesi Utara",,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
ChIJ90alQG7cizIRwC3iYnwytw4,Banua Wuhu,Kabupaten Kepulauan Sangihe,Sulawesi Utara,,,,,,,NO_ADDR,,,,STILL_MISSING (NO_ADDR)
ChIJW0bZR2EJui0R683Gx1C8zX4,Bukit nane polassi,Kabupaten Kepulauan Selayar,Sulawesi Selatan,,,,Sulawesi Selatan 92855,,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
ChIJDfBpYPcTiTIRbQIhDZeu8to,TUGU I LOVE SITARO,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,,,,"PCJ7+P9P, Unnamed Road, Tatahadeng, Kec. Siau Tim., Sulawesi Utara 95861",,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
ChIJD2_nyfChhi0RYF9PK3uxaeI,Monumen Teluk Lalong,Kabupaten Luwu,Sulawesi Selatan,,,,KH. Samanhudi,,,NO_MATCH,,,,STILL_MISSING (NO_MATCH)
