place_id,nama_pengulas,rating,waktu_ulasan,teks_ulasan
ChIJ7zfOEbACvy0RI8-2wSg57Sg,agus margono,5.0,2 bulan lalu,"Benteng Rotterdam Makassar adalah salah satu situs sejarah paling ikonik di Indonesia, terletak di pusat Kota Makassar, Sulawesi Selatan. Dibangun pada tahun 1545 oleh Raja Gowa ke-9, Daeng Matanre Karaeng Tumapa'risi' Kallonna, benteng ini awalnya bernama Benteng Ujung Pandang dan berfungsi sebagai pusat pertahanan Kerajaan Gowa-Tallo.

Sejarah Benteng Rotterdam :
Benteng ini mengalami perubahan signifikan setelah Perjanjian Bongaya pada tahun 1667, ketika Kerajaan Gowa-Tallo menyerahkannya kepada Belanda. Belanda kemudian mengubah nama benteng menjadi Fort Rotterdam, sebagai penghormatan kepada kota asal Laksamana Cornelis Speelman. Selama masa kolonial, benteng ini menjadi pusat pemerintahan, ekonomi, dan militer Belanda di wilayah timur Indonesia.

Fungsi dan Peran :
Benteng Rotterdam memiliki beberapa fungsi sepanjang sejarahnya, antara lain:
- Pusat Pertahanan : Sebagai benteng pertahanan Kerajaan Gowa-Tallo melawan serangan musuh.
- Pusat Pemerintahan : Sebagai pusat pemerintahan kolonial Belanda di Sulawesi Selatan.
- Penjara : Tempat penahanan Pangeran Diponegoro pada tahun 1830-1855.
- Museum : Sekarang menjadi Museum La Galigo, menampilkan koleksi artefak sejarah dan budaya Sulawesi Selatan.

Benteng Rotterdam adalah simbol sejarah dan budaya Makassar, serta destinasi wisata yang populer. Bentuknya yang unik, menyerupai penyu yang merangkak ke laut, membuatnya dikenal sebagai ""Benteng Penyu"" .
Tiket masuk Benteng Rotterdam Makassar adalah sebagai berikut:
- Dewasa : Rp 5.000
- Anak-anak : Rp 3.000
- Museum La Galigo : Rp 5.000 (atau Rp 7.500, tergantung sumber)
- Parkir Motor : Rp 3.000
- Parkir Mobil : Rp 5.000

Perlu diingat bahwa harga tiket masuk dapat berubah sewaktu-waktu, jadi pastikan bolomadyang dan sobatjalan untuk memeriksa informasi terkini sebelum berkunjung.✅️💯👍😁🇮🇩"
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Kahar Forester,5.0,3 bulan lalu,"Singgah sejenak 25 December 2025

Benteng Fort Rotterdam bukan sekadar bangunan peninggalan sejarah, melainkan simbol perjalanan panjang Makassar sebagai pusat peradaban maritim di Indonesia Timur. Benteng ini mencerminkan dinamika kekuasaan, perlawanan, dan pertemuan berbagai budaya yang pernah mewarnai Sulawesi Selatan. Dari masa Kerajaan Gowa hingga era kolonial Belanda, Fort Rotterdam menjadi saksi bisu perubahan besar dalam sejarah bangsa.

Keunikan Fort Rotterdam terletak pada bentuk arsitekturnya yang menyerupai penyu, yang melambangkan kekuatan dan ketangguhan. Benteng ini tidak hanya berfungsi sebagai pertahanan militer, tetapi juga sebagai pusat pemerintahan, perdagangan, dan administrasi kolonial. Di balik dinding-dinding tebalnya, tersimpan kisah perjuangan rakyat Sulawesi Selatan, termasuk perlawanan Sultan Hasanuddin terhadap dominasi VOC.

Menurut pendapat saya, hingga saat ini Benteng Fort Rotterdam masih terjaga dengan cukup baik dan tetap menjadi salah satu ikon sejarah Kota Makassar yang membanggakan. Kondisi fisik bangunan, tata ruang, serta fungsi kawasan sebagai pusat edukasi dan kebudayaan menunjukkan adanya upaya pelestarian yang patut diapresiasi.

Namun demikian, Fort Rotterdam perlu terus dipertahankan dan dijaga, terutama seluruh nilai dan benda-benda kebudayaan yang ada di dalamnya. Pengawasan terhadap aset sejarah harus diperkuat untuk mencegah terjadinya pencurian, perusakan, maupun pemanfaatan yang tidak sesuai dengan nilai pelestarian. Benda-benda bersejarah bukan sekadar koleksi, melainkan bukti otentik perjalanan sejarah yang tidak tergantikan.

Selain itu, kebersihan kawasan Fort Rotterdam juga menjadi tanggung jawab bersama, baik pengelola maupun pengunjung. Lingkungan yang bersih dan tertata akan mencerminkan rasa hormat terhadap warisan budaya serta memberikan kenyamanan bagi siapa pun yang berkunjung. Menjaga Fort Rotterdam berarti menjaga identitas, sejarah, dan kebanggaan budaya Sulawesi Selatan untuk generasi yang akan datang."
ChIJ7zfOEbACvy0RI8-2wSg57Sg,andi juswantar,5.0,2 bulan lalu,"ternyata biaya masuknya gratis sodara sodara ku sekalian. pas mau masuk museum baru bayar 5000/org dewasa, 3000/org anak2.
puas lah jalan2 bareng keluarga. fasilitas umumnya juga tersedia, ada toilet sama masjid di dalam bentengnya."
ChIJ7zfOEbACvy0RI8-2wSg57Sg,dijay brian,5.0,4 bulan lalu,"Benteng Rotterdam dibangun pada tahun 1545 oleh Raja Gowa ke-IX, Daeng Matanre Karaeng Tumaparisi Kallonna. Pada tahun 1667, benteng ini jatuh ke tangan Belanda di bawah pimpinan Cornelis Speelman dan kemudian dinamai Fort Rotterdam untuk menghormati tempat kelahiran Speelman di Belanda.

Tempat yang luar biasa kaya akan sejarah! Benteng Rotterdam ini adalah situs cagar budaya yang terawat dengan sangat baik dan menawarkan wawasan mendalam tentang sejarah Makassar, baik dari masa Kerajaan Gowa-Tallo maupun era kolonial Belanda. Arsitektur bangunannya unik, jika dilihat dari udara menyerupai penyu yang merayap ke laut. Sangat direkomendasikan untuk kunjungan edukatif bersama keluarga. Tiket masuknya gratis. Wajib dikunjungi saat berada di Makassar"
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Kusumastuti Rahmawati,5.0,3 bulan lalu,"Seneng banget bisa masuk Fort Rotterdam. HTM free. Tempatnya terawat dengan baik. Ada tour guide yang siap menjelaskan. Berbayar 100-150rb. Jika waktunya luang mending pake tour guide. Sambil foto2, sambil keliling benteng yang 7 hektar dan lihat museum di banyak gedungnya, kita bisa sambil belajar sejarah."
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Rizka S.P,5.0,4 bulan lalu,"Tempatnya luas banget, bangunannya sebenarnya cantik , tapi ga semua dibuka dan beberapa dijadikan kantor. Pas masuk ruangan agak gelap. Waktu itu dateng mepet mau tutup jadi pas ditawarin guide, kami ga ambil. Sarannya, pengalaman dari kunjungan ke beberapa keraton di solo, guide dan tiket masuk diatur di sistem tiket jadi harga untuk guide sama rata."
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Warsito Utomo,5.0,sebulan lalu,Indah dan terawat meskipun bangunan lama tapi bagus ala belanda eropa. Masuk gratis ngisi data diri saja di pso security
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Mahdi,5.0,4 bulan lalu,"Benteng Rotterdam adalah salah satu destinasi sejarah paling menarik di Makassar yang wajib dikunjungi, terutama bagi pecinta budaya dan arsitektur kuno. Begitu memasuki kawasan benteng, suasana yang terasa adalah ketenangan sekaligus kekaguman terhadap bangunan peninggalan kerajaan Gowa-Tallo yang masih berdiri kokoh hingga sekarang. Struktur bangunannya yang khas bergaya Eropa namun tetap menyimpan sentuhan lokal membuat tempat ini tampak sangat fotogenik dan cocok untuk dijadikan lokasi swafoto.

Selain keindahan arsitekturnya, Benteng Rotterdam juga menyimpan nilai sejarah yang sangat berharga. Di dalamnya terdapat Museum La Galigo yang memuat berbagai koleksi tentang sejarah Sulawesi Selatan, mulai dari peninggalan kerajaan hingga budaya masyarakatnya. Pengunjung dapat belajar banyak hal tanpa merasa bosan karena penataan ruangannya yang rapi dan informatif.

Area benteng yang luas juga membuat suasana berjalan-jalan menjadi menyenangkan. Banyak spot menarik yang bisa dieksplorasi, termasuk taman-taman kecil yang memberikan kesan damai. Kebersihan lokasi juga cukup terjaga, sehingga pengunjung merasa nyaman selama berada di dalam benteng.

Secara keseluruhan, Benteng Rotterdam menawarkan pengalaman wisata sejarah yang edukatif, indah, dan penuh makna. Sangat direkomendasikan untuk wisata keluarga, pelajar, hingga turis yang ingin mengenal lebih dalam budaya Makassar."
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Mohammad Habibi,5.0,5 bulan lalu,"tempat wisata sejarah yang sangat menarik mengenal sejarah sulawesi dan kerajaan² yang berperan di dalamnya 😁☺🔥🔥

untuk tiket masuk ke sini gratis, tetapi bila sewa tour guide +200 rb, kemudian ada tiket museum +5 rb/org, saat review ini dibuat ✅

di sini juga digunakan balai pelestarian budaya, di mana saat kami berkunjung, ada anak² pramuka yang sedang ada acara dan beberapa kelompok kesenian yang sedang berkegiatan 👌😃"
ChIJ7zfOEbACvy0RI8-2wSg57Sg,Tria Yuda Purnama,5.0,4 bulan lalu,Tempat dengan banyak sejarah. Masuknya gratis. Cukup luas dan terdiri dari beberapa gedung yang menjadi museum. Tersedia toilet & musholla didalam. Banyak koleksi barang bersejarah dan ruangan-ruangan dengan berbagai cerita.
