nama_wisata,alamat,rating,jumlah_review,kategori,image,lat,long,place_id
Taman Pakui Sayang,"Jl. A. P. Pettarani, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",4.6,5922,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHoBe2xiHI6JoDs8YRCx2tAj8tS4NdAfns7WJcvNo3WXZ9bvuOM-SN2x934NIAimChi9uALhWkbJMrRKhYQKK13veM6K6F3urc6BItvRXzc8ZZdTSx1__5_R8L0lv1iBQfsEOGkGTeqEGGu6JxZaLUQwSDbtPpEuBOhDnV-W5AEvUeq76JmsF771ISK7WvZSwcNtSmv8S6hIBlEJa1LLnniIkYkqj0ywHBjsdSqv_tunKHz3U7EkGfstyLhoLstA5LaoXo7il_OFRGRCy0BZlQU3qk5snjdNC7TdW7dYU8YgLM-g9wcUiSFTgPkENZJHp2XV64MiE8ZDj9noRBdzj-beVoIj_RWROarEminY1DtpZriVXOueU8s9RLEq_3xOzqq2ELpo6mcC2-knMcSS-Utmehfi5yuCVkw_wmYKff1nutJMloXsivkbcH_F4YD&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1516978,119.436993,ChIJk0JLwrnivi0R-CtMG-aENT8
Benteng Rotterdam,"No.Road, Jl. Ujung Pandang, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",4.5,14273,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEHNW9zQPSlX6uZMtR1Q4jyZARpZOa2jbWUHOyiWVG5ul1O1EGLfjvxlvFXPqePZj1FqJDYKpcvYm_QMTCWGUWE6KopgJ8ieiN4Chy1AaIosqYojGTWov0BbVvCxf9jxgBQySosywt7JJmBGTQdaD18TUGkYEnqpjGvMcLA912zOjqXTfosjXpZIc6DfnpcAIoqKNGLw00lS0tgrHyN2zzLmuYJMaTFkXxV9riNqjbEPQfbGT_uYTLkk24dZQtOmmFsyKLJN1snDe9S6fyT_C2CZI6RXX_9wY_h5wn23WyKtQEmInKXk-4pw47pDnY7HRvjFASEX4rdHcJPraHO0UsObh4QjMr4nMdwIfFJ_yCuRSNgzFZ6Nrtfsevx2ArieO6eMCci9HjUUQ6KjMP7USvtDv8WljNZqyMSg4DCN6RxbtmQ2&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1340004,119.4056311,ChIJ7zfOEbACvy0RI8-2wSg57Sg
Bugis Waterpark Adventure,"Jl. Raya Baruga No.1, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90562, Indonesia",4.4,4694,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEG_UnD8Gqqn7BVoF3CShdXmzXYpt1j-icWm3iItzjN80ZB9bjS_8sRAa3mhH3AJW4zbTI5_a_xrmlarmeNcgW2vTzr9XanShZzsuRrRe0J88iqt7bLO0EHSLPI32DUdNcDWWbDITiY_061iuPpMUsxpHPwtKqJVDNOXvAWd4kFWg-E7YxaXYJnCGq_dm8slPjgKaJCSSSRDtEKs3StU4LKdEQavELgAIea-9T70aVgdHiHdujtunfUG5il0VWr1O_2fubu6ogCF0vnykn-I4Uu3HDH05W9u21RvS_tqDkSyIRd5PNPMCokhXOrLYTL6xfkoHhZ1kGB5wOvFbUIptYwZ_6FhAabt4iAGe0inFdSslWYjOEqO6lLYNGn_H-eHj0C2yh_Naxd7tItWrPkDnQvJWiFVPtng_Hu2CnpO91q24w&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1538136,119.4946243,ChIJeaVDy0Pjvi0RmquBLs_T5Oc
Taman Macan,"VC75+P5P, Jl. Sultan Hasanuddin, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia",4.5,2669,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEEdDd55UaEeMZeZllGqRj9GTQxcdQGtM4VVU4CqJSGjNIjfcAFFab724PNNTk9modxB7dAmb7c-PcoOyEPgOmpk-hMsqPNUkhZ3WmsAYT_JRsFbIbg-yeCf_gCKg5Al3RT6WxNPxRwOkfullfbx2bVMztTFjl3gx7G6JkLWRHAQNz5wzEVfViWwZTcCk-8Ge4TNFOjy7fhu4FKDD2z2jsz2nVm8YE5dCHlSHpdW1slUSdG9ZJ3Urt1aILWTzW0qjm5t4G-lV-66SF_3SdcFyB17tOzrJsEb858ec7Ioe7DX-trab7bdgXf2AKlCABmgSAa6aeHhQpQiuV8QvjnTgQtwVLehIvzwsSHNsly_yW5MOEYXMeprPTSMbsQUJUr4BRc7pJQMtYAsVllG4VJvToAeaXRmBOQCDKQsm-YJH5U&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1356647,119.4079565,ChIJMa1AS64Cvy0Ru_ssSD8Thig
Pulau Wisata Lakkang,"VFH8+8VR, Pulau, Lakkang, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90245, Indonesia",4.6,178,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGJiaoCI9YGJnUYM2C4WmRMYRFsjcuD_SNWsuzN5wAZnx0cy8XjrNUKoRSFdBS8IjwKanp7KDG0xWuc1IyhVkSgn-IWW34Efe67Dvc7u-TWOhCow7Cdb7ztGao_iD-NfILPWTE88R5lCyFepikxJoVLUT3L3L5qC3y_XC1r6ITqfWx2987EpTkjrtgionhR6rLMUyOT53J7LBO_3oXiOnRWnlTvAQMuDROONobKCjblqi7FPc0oZ4jcklfnyBZFpHHTv-CfizFPctgMxbIauF10BUfwrFxsDhFms_nVNdr0037VQ2bCFDOIQ78YttGzUnBFkMQWBJ2Zd-ArjTQlFntertWjS9TpS4teAMD7WkhTzasuM52etHk4IBl7RCA6vEhFkFioK4vJnrIyNVRLNFE18k672AAkfU-k2EUJPVrL60U&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.121638799999999,119.4671372,ChIJczTb1N_8vi0RRvkiig80o6M
Benteng Somba Opu,"Jl. Daeng Tata, Benteng Somba Opu, Kec. Barombong, Kota Makassar, Sulawesi Selatan 90224, Indonesia",4.3,993,Wisata Budaya & Sejarah,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFv-ukyzGaZ49-ZQOMLkNlgq-ykJLkHyr07ZhT_YExyjZ_kSOumx6FIgmcEoPlW1ftqxVCkT1hlocV8j3QZq5jJ6Jqxqro3lMh8O-Yb9LDnSF4hDHsCdM-ebNLGw6WvBBMDZemhnwtEjbt6zems2teFyrh2y2C30lnJUvhRYDHBcp_KsKHq_KpO0fTsmzC55njcJuUNg9LYS3vfK-mw8NpbKEYPdQ4y3BkOUURD8hesG1wWiP9CZnIAG3yN80IWRlkZT0T-4hDt5cP95dcRprD30R4pNVZ9OOWvBOSXG9sgep_UHvRpDsC6-KHXFy66AIYQIDh4rvU85ydAHK8FgX0x9bRTkH43PEdUk13OCyG7ZPXqHltNWkcbsGBHnmHB0oyZVQ1yox6usabp5cwYmw6lOq-nb706EwLB7bBEfBnIQw&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.189921,119.4015934,ChIJpVexH3Tivi0R2gWAvWT_7HI
Losari Beach Platform,"Maloku, Jl. Penghibur, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",4.4,17574,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGsdAa4fWBcnoQC6D4GqCBSVarVt2hYbaK0uVSb6ILYIKadYPJqERhm3GfFiEdTdToNVYY9aCkQNaloN_FjRwcr0hElMAnM1cfwwrCfnHYXp0MeR9fjP8GAb_wo-Fsog89Z1DOuZ8XZZXs2Z7Pk18hf63mTXx1ORhDUlY6NmR-GwDVWtOoePIROHI6NeYfD3jtORW1uRFyoau4G4aLXLsJEb-p2IU_UY_Jv0K8e0f2z-c6rOg8FCDZS6TG7PDtxjHKydnwj55jXJiFZrRh7UCJ5oEpKoGzYsWCnJbm10rAQrdDNxuqArm8BAQOADgJT_foECAs_1U-DY7yTN0zEQ0MrITqUi5X4i61ZtvIHuqf8c1z3PtZgWMuLkLVf5utPGQOtD1dplO_oZs7E0FMihR2oCwz_6HulDe6HfirvZFqKdjE&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1436198,119.4074821,ChIJAe8Dxrrivi0RkTTxeTp61F8
Pantai Tanjung Layar Putih,"Unnamed Road, Tanjung Merdeka, Tamalate, Makassar City, South Sulawesi 90225, Indonesia",4.3,527,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEFj-Unpz-KxSjAfnEr6am7MwH7Tyb-5-9X6PqadGW71--70o5Fg5G5LS2mR4QEKPrKE9dtsetXi2jyRltKIRP-0S34IMoZ8uVOrMzEn2jmzUmnMghnZhRBB6TxRb4UAfub3bVU-orV8D7EytEj7nTyr4o6fzUvoGGmi1rxIbpTSf_8nk5QtebHtByk7N_2m4p0wjVNQJ2GWyV7tzo6MSa-Cesu20ehHjVuWv4WgWbYMPRYw7xrlyQ6Z7xy62aEuqBFE0Ig0ozljGq2cL4lEYUW5z29q90n_Q06gi25ma29ICAjTf1Szxbgtu_UsxYEn3CGBX9kb7raKkIJYmbfqNn3xXC291TyPo9fwrJyNJkBieA0EFaCX1DRSquU64TYI_rGBi_1Ij7OmMyUpus6ndqUXaNZSVDu4uLUbchQ_81cSwGaJ&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1913364,119.3824746,ChIJN6HdDbAdvy0RfgRh2_kWt5g
Pantai Indah Bosowa,"R9PQ+46G, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",4.3,786,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGzFpVI8Cs5TDt3URHv4pVEHm3gcccI0ReD5LUDkgJ06hrtNL41rj2gBcAE6Ts03qSHmOKbRLT_AWYN60aptUc4KiB8Nd6HyJWzymOOvFEQ9h2qrPT3GJLtjOWaNILMlUoahq0skzyteSHljBA4oReKVvniCYWV7nhnBfhL4003YT7TTbwv_lBytsgGYD-3SvsNVCMFcD3kfb11f7JrjUQ8iAoNKoVaUGIOTVqJYsuSkjy3dVTIYaJvNOa6tT3EIcMryn8G3-RJ08GhqRsnr16cIC8zmE_SBv3fvmpnfKlRD6FPq73agHbIGfCXLuHFCu3BJy7sGxOdxTpsfVjLcg7aE3O99ZIl4kFxGmLw1yBTZSzOK-DBv2T8WlL7n5OiKc8U5BrcTHLhAtitRq3JXRkV9AHGwGv4hHFGDav9Tf1qbkFhPOj2Py_AkZM2CiF0&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.164686,119.3880937,ChIJ5-tJWokdvy0RsnxbtOGeFKM
Pantai Losari,"Jl. Somba OPU No.57, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia",4.6,4873,Wisata Alam,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AU_ZVEGuO-sCT3YM4FCbv9KtCAVlNRL9oPxrEBvoe_00b7vQfP6UjhZQ1hR395lT9VE9nutdqPkg2GQxcq48yoq62c6qXAF2w4mLCfJVfaF1eMZVrjHbNGfqHKF_3whajCOWVu8m-dQUvoXnjBjFPuheUOeiA_txVDSKY6SDxVBI1uEs2bXq2Et7mG_iz1g_XGztBHp_W0DdkMGlCj8ww9bgp-s3XRK0XVFz8Mp7D9YS5l-dqCHoUCJ8bFykHFxZGjd5S8Fxn4jTA9T9PR5HT6Pqat7zWM0X8SrvgRzZo9EO9NzKVkstMwphmAiEXU1g7-PdGGlg81Kjxrf5vqX1q-U77G04NTqmMIuVB39tO0h-zalPhklQbWT9RFkvsaOJTkMLOOEj5FSPCpikfgQQuFxu_Dumfj_uOT-LviqPj1ufgewIeA&key=AIzaSyCjh9aj5KcL4_aU4229--ATJhvbcTNPmUk,-5.1429693,119.4074741,ChIJTWtCS60Cvy0RB9LEfNoFeno
